period_month,electricity_commercial_tj,electricity_domestic_tj,electricity_industrial_tj,electricity_street_lighting_tj,electricity_total_tj,gas_total_tj,electricity_export_to_mainland_tj,year,month,quarter,sin_month,cos_month,source_dataset,temp_mean_c_avg,temp_max_c_avg,temp_max_c_peak,temp_min_c_avg,temp_min_c_low,temp_range_c_avg,rh_mean_pct_avg,rainfall_mm_sum,rainfall_day_count,hot_day_count,cool_day_count,days_in_month,weekend_days,public_holiday_days,business_days,immigration_arrival_hk_residents,immigration_departure_hk_residents,immigration_arrival_mainland_visitors,immigration_departure_mainland_visitors,immigration_arrival_other_visitors,immigration_departure_other_visitors,immigration_arrival_total_passengers,immigration_departure_total_passengers,immigration_total_cross_border_passengers,immigration_net_arrivals_total_passengers,public_transport_total_avg_daily_pax,public_transport_ferries_avg_daily_pax,public_transport_fran_bus_avg_daily_pax,public_transport_lrb_avg_daily_pax,public_transport_plb_avg_daily_pax,public_transport_rs_avg_daily_pax,public_transport_railways_avg_daily_pax,public_transport_tax_avg_daily_pax,cross_harbour_av_pax,cross_harbour_db_pax,cross_harbour_total_pax,building_consent_demolition_count,building_consent_site_formation_count,building_consent_foundation_count,building_consent_superstructure_count,building_consent_total_count,occupation_permits_domestic_count,occupation_permits_non_domestic_count,occupation_permits_composite_count,occupation_permits_total_count,occupation_permits_domestic_units,building_completion_domestic_gfa,building_completion_non_domestic_gfa,building_completion_total_gfa,building_completion_domestic_ufa,building_completion_non_domestic_ufa,building_completion_total_ufa,building_completion_domestic_units,building_completion_declared_cost_hkd,building_completion_declared_cost_aa_hkd,hkelectric_re_generation_solar_photovoltaic,hkelectric_re_generation_wind_power,hkelectric_re_generation_grand_total,feature_year,population,district_area_m2,population_density_per_km2,immigration_features_available,transport_features_available,building_activity_features_available,re_generation_features_available,population_features_available,electricity_lag_1m,electricity_lag_2m,electricity_lag_3m,electricity_lag_6m,electricity_lag_12m,electricity_roll_mean_3m,electricity_roll_std_3m,electricity_roll_mean_6m,electricity_roll_std_6m,electricity_roll_mean_12m,electricity_roll_std_12m,electricity_yoy_delta_tj,electricity_yoy_growth,target_electricity_total_t_plus_1m,target_period_month
1979-01-01,918.0,507.0,985.0,11.0,2421.0,253.0,,1979,1,1,0.49999999999999994,0.8660254037844387,hong_kong_city_monthly,17.63225806451613,20.177419354838708,23.7,15.529032258064515,6.8,4.648387096774194,80.09677419354838,45.1,8,0,3,31,8,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7506300,1301677230.8828125,5766.636937260661,0,0,0,0,1,,,,,,,,,,,,,,2415.0,1979-02-01
1979-02-01,970.0,544.0,891.0,11.0,2415.0,268.0,,1979,2,1,0.8660254037844386,0.5000000000000001,hong_kong_city_monthly,18.857142857142858,21.29642857142857,26.5,16.810714285714287,6.1,4.485714285714285,78.17857142857143,9.4,8,0,2,28,8,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7506300,1301677230.8828125,5766.636937260661,0,0,0,0,1,2421.0,,,,,2421.0,,,,,,,,2601.0,1979-03-01
1979-03-01,995.0,520.0,1076.0,10.0,2601.0,264.0,,1979,3,1,1.0,6.123233995736766e-17,hong_kong_city_monthly,19.33225806451613,21.093548387096774,27.8,17.648387096774194,12.6,3.4451612903225803,88.03225806451613,71.9,16,0,0,31,9,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7506300,1301677230.8828125,5766.636937260661,0,0,0,0,1,2415.0,2421.0,,,,2418.0,4.242640687119285,,,,,,,2676.0,1979-04-01
1979-04-01,1030.0,548.0,1088.0,10.0,2676.0,263.0,,1979,4,2,0.8660254037844387,-0.4999999999999998,hong_kong_city_monthly,21.703333333333333,24.46333333333333,32.4,19.666666666666668,14.1,4.796666666666666,84.93333333333334,234.5,12,1,0,30,9,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7506300,1301677230.8828125,5766.636937260661,0,0,0,0,1,2601.0,2415.0,2421.0,,,2479.0,105.69768209379049,2479.0,105.69768209379049,,,,,2943.0,1979-05-01
1979-05-01,1145.0,578.0,1210.0,10.0,2943.0,244.0,,1979,5,2,0.49999999999999994,-0.8660254037844387,hong_kong_city_monthly,24.403225806451612,26.893548387096775,31.2,22.603225806451615,19.4,4.290322580645161,86.35483870967742,311.6,17,4,0,31,8,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7506300,1301677230.8828125,5766.636937260661,0,0,0,0,1,2676.0,2601.0,2415.0,,,2564.0,134.3763372026489,2528.25,130.95896303804486,,,,,3127.0,1979-06-01
1979-06-01,1220.0,642.0,1257.0,8.0,3127.0,255.0,,1979,6,2,1.2246467991473532e-16,-1.0,hong_kong_city_monthly,26.876666666666665,29.696666666666665,32.3,25.096666666666668,22.1,4.6,85.56666666666666,378.2,19,14,0,30,9,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7506300,1301677230.8828125,5766.636937260661,0,0,0,0,1,2943.0,2676.0,2601.0,,,2740.0,179.75817088522012,2611.2,217.4079115395758,,,,,3547.0,1979-07-01
1979-07-01,1373.0,822.0,1342.0,10.0,3547.0,239.0,,1979,7,3,-0.4999999999999997,-0.8660254037844388,hong_kong_city_monthly,29.193548387096776,32.12258064516129,33.8,27.15806451612903,24.4,4.964516129032258,79.41935483870968,339.4,13,29,0,31,9,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7506300,1301677230.8828125,5766.636937260661,0,0,0,0,1,3127.0,2943.0,2676.0,2421.0,,2915.3333333333335,226.76933949132828,2697.1666666666665,286.62617931142773,2697.1666666666665,286.62617931142773,,,3641.0,1979-08-01
1979-08-01,1385.0,893.0,1354.0,9.0,3641.0,224.0,,1979,8,3,-0.8660254037844385,-0.5000000000000004,hong_kong_city_monthly,27.864516129032257,30.948387096774194,33.5,25.88064516129032,23.5,5.067741935483871,85.29032258064517,706.9,21,23,0,31,8,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7506300,1301677230.8828125,5766.636937260661,0,0,0,0,1,3547.0,3127.0,2943.0,2415.0,,3205.6666666666665,309.5889748252242,2884.8333333333335,411.19553337392523,2818.5714285714284,414.28969620418087,,,3447.0,1979-09-01
1979-09-01,1331.0,824.0,1283.0,9.0,3447.0,233.0,,1979,9,3,-1.0,-1.8369701987210297e-16,hong_kong_city_monthly,27.063333333333333,30.05,32.9,24.94,22.5,5.11,80.93333333333334,506.29999999999995,16,16,0,30,10,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7506300,1301677230.8828125,5766.636937260661,0,0,0,0,1,3641.0,3547.0,3127.0,2601.0,,3438.3333333333335,273.6883872825687,3089.1666666666665,434.9576607747781,2921.375,481.3160344306016,,,3163.0,1979-10-01
1979-10-01,1241.0,644.0,1268.0,10.0,3163.0,238.0,,1979,10,4,-0.8660254037844386,0.5000000000000001,hong_kong_city_monthly,24.725806451612904,28.470967741935485,30.6,22.154838709677417,20.3,6.316129032258064,60.61290322580645,0.0,0,4,0,31,8,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,7506300,1301677230.8828125,5766.636937260661,0,0,0,0,1,3447.0,3641.0,3547.0,2676.0,,3545.0,97.01546268507893,3230.1666666666665,378.52155376763824,2979.777777777778,483.12001039539285,,,2888.0,1979-11-01
