period_month,electricity_commercial_tj,electricity_domestic_tj,electricity_industrial_tj,electricity_street_lighting_tj,electricity_total_tj,gas_total_tj,electricity_export_to_mainland_tj,year,month,quarter,sin_month,cos_month,source_dataset,temp_mean_c_avg,temp_max_c_avg,temp_max_c_peak,temp_min_c_avg,temp_min_c_low,temp_range_c_avg,rh_mean_pct_avg,rainfall_mm_sum,rainfall_day_count,hot_day_count,cool_day_count,days_in_month,weekend_days,public_holiday_days,business_days,immigration_arrival_hk_residents,immigration_departure_hk_residents,immigration_arrival_mainland_visitors,immigration_departure_mainland_visitors,immigration_arrival_other_visitors,immigration_departure_other_visitors,immigration_arrival_total_passengers,immigration_departure_total_passengers,immigration_total_cross_border_passengers,immigration_net_arrivals_total_passengers,public_transport_total_avg_daily_pax,public_transport_ferries_avg_daily_pax,public_transport_fran_bus_avg_daily_pax,public_transport_lrb_avg_daily_pax,public_transport_plb_avg_daily_pax,public_transport_rs_avg_daily_pax,public_transport_railways_avg_daily_pax,public_transport_tax_avg_daily_pax,cross_harbour_av_pax,cross_harbour_db_pax,cross_harbour_total_pax,hkelectric_re_generation_solar_photovoltaic,hkelectric_re_generation_wind_power,hkelectric_re_generation_grand_total,feature_year,population,district_area_m2,population_density_per_km2,ev_standard_chargers,ev_medium_iec62196_chargers,ev_quick_chademo_chargers,ev_quick_ccs_combo_chargers,ev_quick_iec62196_chargers,ev_quick_gbt_dc_chargers,ev_total_chargers,building_count,building_block_type_count,footprint_area_m2_sum,footprint_area_m2_mean,building_height_m_mean,completed_building_count,immigration_features_available,transport_features_available,re_generation_features_available,population_features_available,electricity_lag_1m,electricity_lag_2m,electricity_lag_3m,electricity_lag_6m,electricity_lag_12m,electricity_roll_mean_3m,electricity_roll_std_3m,electricity_roll_mean_6m,electricity_roll_std_6m,electricity_roll_mean_12m,electricity_roll_std_12m,electricity_yoy_delta_tj,electricity_yoy_growth,target_electricity_total_t_plus_1m,target_period_month
2013-01-01,7105.0,2675.0,826.0,35.0,10641.0,2880.0,,2013,1,1,0.49999999999999994,0.8660254037844387,hong_kong_city_monthly,16.706451612903226,19.12258064516129,25.6,14.77741935483871,10.8,4.345161290322581,71.06451612903226,3.4,2,0,3,31,8,0,23,,,,,,,,,,,12366.676503000012,127.88287096774201,3925.29096774194,130.447129032258,1883.2875161290372,238.447612903226,5086.0319677419375,975.288438483871,11715061.0,11657370.0,23372431.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,10680.0,11227.0,12861.0,15937.0,10386.5544,11589.333333333334,1134.7485771453191,13675.833333333334,2461.0458278274177,12909.322233333332,2370.031776320773,254.4455999999991,0.02449759469800683,9396.0,2013-02-01
2013-02-01,6435.0,2153.0,776.0,32.0,9396.0,2793.0,,2013,2,1,0.8660254037844386,0.5000000000000001,hong_kong_city_monthly,19.067857142857143,22.053571428571427,26.2,17.142857142857142,11.9,4.910714285714286,79.46428571428571,1.5,5,0,1,28,8,0,20,,,,,,,,,,,12144.22790889286,137.4713928571429,3897.279107142854,122.869821428571,1833.789571428576,228.953214285714,4907.603250000004,1016.26155175,10558753.0,10614226.0,21172979.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,10641.0,10680.0,11227.0,16553.0,10016.0,10849.333333333334,327.6497113280575,12793.166666666666,2437.476926386528,12930.526033333334,2346.4303609795315,-620.0,-0.061900958466453715,11004.3648,2013-03-01
2013-03-01,7746.0,2408.0,821.0,30.0,11004.3648,2360.0,,2013,3,1,1.0,6.123233995736766e-17,hong_kong_city_monthly,20.551612903225806,23.496774193548386,28.3,18.470967741935485,13.2,5.025806451612904,79.51612903225806,130.5,13,0,0,31,10,0,21,,,,,,,,,,,12201.51484277419,135.4674516129032,3876.3776451612866,127.431451612903,1850.8296451612869,234.407677419355,4953.502032258064,1023.49893954839,11475097.0,12013781.0,23488878.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,9396.0,10641.0,10680.0,14797.0,11022.5304,10239.0,730.3197929674732,11600.333333333334,1927.3689492846672,12878.859366666666,2422.047758259562,-18.165600000000268,-0.0016480426309370966,11172.9384,2013-04-01
2013-04-01,7856.0,2342.0,940.0,34.0,11172.9384,2604.0,,2013,4,2,0.8660254037844387,-0.4999999999999998,hong_kong_city_monthly,21.529999999999998,23.916666666666668,30.6,19.66,15.2,4.256666666666667,86.0,253.8,21,1,0,30,8,0,22,,,,,,,,,,,12022.28124129999,129.6276999999999,3819.9487999999965,126.835,1846.19573333333,235.974166666667,4892.227566666664,971.472274633333,11652745.0,11035449.0,22688194.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,11004.3648,9396.0,10641.0,12861.0,11616.8292,10347.1216,843.4943496904573,10968.227466666665,1123.6466604971972,12877.345566666669,2423.3187972673813,-443.89080000000104,-0.03821101200317223,13904.0,2013-05-01
2013-05-01,9081.0,3770.0,1023.0,30.0,13904.0,2341.0,,2013,5,2,0.49999999999999994,-0.8660254037844387,hong_kong_city_monthly,25.729032258064517,28.151612903225807,33.0,23.948387096774194,16.6,4.203225806451614,86.41935483870968,509.3,20,10,0,31,8,0,23,,,,,,,,,,,12125.508362741934,139.87841935483868,3853.7398387096796,129.236096774194,1848.644645161291,238.662193548387,4913.352483870963,1001.99468532258,11045490.0,11113912.0,22159402.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,11172.9384,11004.3648,9396.0,11227.0,14790.9528,10524.4344,980.880936190422,10686.883866666665,677.8351516337634,12840.354666666666,2447.5757260834116,-886.9527999999991,-0.05996590023598747,15390.0,2013-06-01
2013-06-01,10002.0,4326.0,1035.0,27.0,15390.0,2166.0,,2013,6,2,1.2246467991473532e-16,-1.0,hong_kong_city_monthly,28.146666666666665,30.743333333333332,34.2,26.453333333333333,22.4,4.29,83.93333333333334,438.6,21,19,0,30,10,0,20,,,,,,,,,,,12173.432019600004,132.2318999999999,3843.1483333333376,128.717433333333,1865.448366666667,241.401766666667,4932.75393333333,1029.73028626667,10929768.0,11192031.0,22121799.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,13904.0,11172.9384,11004.3648,10680.0,15024.0,12027.101066666664,1627.6260224987382,11133.050533333333,1494.0565635311073,12766.441933333334,2396.168295341786,366.0,0.024361022364217222,15845.0,2013-07-01
2013-07-01,10076.0,4690.0,1047.0,32.0,15845.0,2012.0,,2013,7,3,-0.4999999999999997,-0.8660254037844388,hong_kong_city_monthly,27.961290322580645,30.938709677419357,33.5,26.103225806451615,24.6,4.8354838709677415,85.06451612903226,436.3,22,22,0,31,8,0,23,,,,,,,,,,,12415.549177354831,135.0554838709678,3897.0724516128985,127.528258064516,1869.149774193546,236.431774193548,5112.722774193544,1037.58866122581,11955551.0,11817815.0,23773366.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,15390.0,13904.0,11172.9384,10641.0,15937.0,13488.979466666666,2138.9445216893187,11918.050533333333,2252.9997359587965,12796.941933333334,2429.6122586351617,-92.0,-0.005772730124866676,16223.9148,2013-08-01
2013-08-01,9970.0,5199.0,1026.0,28.0,16223.9148,2131.0,,2013,8,3,-0.8660254037844385,-0.5000000000000004,hong_kong_city_monthly,28.606451612903225,31.13225806451613,34.9,26.529032258064515,24.4,4.603225806451612,82.83870967741936,445.4,19,20,0,31,9,0,22,,,,,,,,,,,12325.514649709674,137.3410645161291,3845.1980645161266,124.52364516129,1851.535322580645,240.278,5079.606806451614,1047.03174648387,12584175.0,12481368.0,25065543.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,15845.0,15390.0,13904.0,9396.0,16553.0,15046.333333333334,1015.1109955729697,12785.383866666665,2632.7366155220375,12789.275266666666,2418.924648058095,-329.08519999999953,-0.01988069836283446,14701.0,2013-09-01
2013-09-01,9429.0,4257.0,981.0,34.0,14701.0,2151.0,,2013,9,3,-1.0,-1.8369701987210297e-16,hong_kong_city_monthly,27.516666666666666,30.253333333333334,34.7,25.686666666666667,23.6,4.566666666666666,81.56666666666666,454.2,17,21,0,30,9,0,21,,,,,,,,,,,12459.465745599993,126.18513333333331,3927.8922333333308,137.156566666667,1881.47316666667,243.507433333333,5114.543633333329,1028.70757893333,11153581.0,11089913.0,22243494.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,16223.9148,15845.0,15390.0,11004.3648,14797.0,15819.638266666667,417.53549136904127,13923.369666666666,2333.3243379955734,12761.851499999999,2373.8204933801167,-96.0,-0.006487801581401609,13143.0,2013-10-01
2013-10-01,8814.0,3370.0,924.0,35.0,13143.0,2083.0,,2013,10,4,-0.8660254037844386,0.5000000000000001,hong_kong_city_monthly,25.648387096774194,28.6,32.0,23.683870967741935,19.4,4.916129032258064,66.45161290322581,2.9,2,10,0,31,8,0,23,,,,,,,,,,,12646.70039529032,145.0147419354838,4029.940645161295,138.942096774194,1890.8189999999959,243.338935483871,5186.98487096774,1011.66010496774,11765822.0,11728514.0,23494336.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,14701.0,16223.9148,15845.0,11172.9384,12861.0,15589.971599999999,792.8410847196715,14539.475533333332,1845.460008857543,12753.851499999999,2366.488779350416,282.0,0.021926755306741263,11149.0,2013-11-01
2013-11-01,7738.0,2499.0,879.0,33.0,11149.0,2389.0,,2013,11,4,-0.5000000000000004,0.8660254037844384,hong_kong_city_monthly,21.696666666666665,23.846666666666668,29.5,19.746666666666666,12.8,4.1,72.46666666666667,83.1,11,0,0,30,9,0,21,,,,,,,,,,,12799.420712366664,140.44389999999999,4054.4832333333343,139.771533333333,1901.74936666667,244.4002,5302.723199999997,1015.84927903333,11497364.0,11524165.0,23021529.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,13143.0,14701.0,16223.9148,13904.0,11227.0,14689.304933333333,1540.4906952503293,14867.819133333333,1183.0746171381663,12777.351499999999,2369.0483191800045,-78.0,-0.006947537187138142,10629.4932,2013-12-01
2013-12-01,7430.0,2251.0,912.0,37.0,10629.4932,2646.0,,2013,12,4,-2.4492935982947064e-16,1.0,hong_kong_city_monthly,16.10967741935484,18.567741935483873,24.9,14.0,9.2,4.567741935483871,62.74193548387097,88.3,4,0,10,31,9,0,22,,,,,,,,,,,12504.397453903217,140.79367741935482,3925.218645161287,135.550709677419,1844.821677419351,233.908258064516,5256.532903225805,967.571582935484,12405781.0,12394596.0,24800377.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,11149.0,13143.0,14701.0,15390.0,10680.0,12997.666666666666,1780.4542491547604,14408.652466666666,1930.4917511651286,12770.851499999999,2373.791006323116,-50.5067999999992,-0.0047291011235954805,10520.7516,2014-01-01
2014-01-01,7049.0,2633.0,803.0,35.0,10520.7516,3071.0,,2014,1,1,0.49999999999999994,0.8660254037844387,hong_kong_city_monthly,16.31935483870968,19.203225806451613,24.4,14.116129032258065,10.3,5.087096774193548,67.45161290322581,0.0,0,0,6,31,8,0,23,,,,,,,,,,,12639.150602354837,133.6524838709677,4017.2172580645206,137.743967741935,1870.595419354838,235.340387096774,5276.990161290318,967.610924935484,12021979.0,12578833.0,24600812.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,10629.4932,11149.0,13143.0,15845.0,10641.0,11640.497733333335,1326.8785267745445,13615.234666666669,2373.8543744760327,12766.6426,2377.876515536914,-120.2484000000004,-0.011300479278263387,9669.0,2014-02-01
2014-02-01,6342.0,2603.0,691.0,33.0,9669.0,2971.0,,2014,2,1,0.8660254037844386,0.5000000000000001,hong_kong_city_monthly,15.471428571428572,17.885714285714286,24.6,13.514285714285714,7.3,4.371428571428572,81.85714285714286,39.5,7,0,9,28,8,0,20,,,,,,,,,,,12177.701749964284,138.5933214285713,3878.148357142856,128.466357142857,1811.9006785714332,232.65175,5018.11971428571,969.821571392857,10936747.0,10310924.0,21247671.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,10520.7516,10629.4932,11149.0,16223.9148,9396.0,10766.414933333333,335.7598603465114,12727.859933333333,2368.7672515507325,12756.6219,2387.8809339580894,273.0,0.02905491698595153,11010.0,2014-03-01
2014-03-01,7407.0,2734.0,836.0,33.0,11010.0,2590.0,,2014,3,1,1.0,6.123233995736766e-17,hong_kong_city_monthly,18.690322580645162,20.9,27.6,17.003225806451614,13.9,3.8967741935483873,83.38709677419355,207.6,12,0,0,31,10,0,21,,,,,,,,,,,12458.813505129028,132.5907096774194,3972.7899354838664,136.626870967742,1856.183806451611,234.19635483871,5145.343548387099,981.082279322581,11795020.0,11805637.0,23600657.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,9669.0,10520.7516,10629.4932,14701.0,11004.3648,10273.0816,525.96779225215,11635.374133333333,1898.8609523550892,12779.3719,2354.012968122272,5.635200000000623,0.0005120877126865153,11370.0,2014-04-01
2014-04-01,7943.0,2425.0,971.0,31.0,11370.0,2660.0,,2014,4,2,0.8660254037844387,-0.4999999999999998,hong_kong_city_monthly,22.583333333333332,24.866666666666667,29.0,21.033333333333335,17.5,3.8333333333333335,86.16666666666667,132.4,12,0,0,30,8,0,22,,,,,,,,,,,12182.779412366668,144.1276999999999,3925.6721666666704,133.183266666667,1812.4014,230.101166666667,4997.872766666663,939.4209457,12354742.0,12350420.0,24705162.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,11010.0,9669.0,10520.7516,13143.0,11172.9384,10399.917199999998,678.6169495139018,11020.207466666667,1161.9651687976104,12779.8415,2353.6272135527206,197.0616000000009,0.01763740145564574,14362.2252,2014-05-01
2014-05-01,9382.0,3907.0,1045.0,30.0,14362.2252,2327.0,,2014,5,2,0.49999999999999994,-0.8660254037844387,hong_kong_city_monthly,26.39032258064516,28.561290322580643,32.8,24.616129032258065,18.8,3.9451612903225803,85.83870967741936,687.3,23,15,0,31,9,0,22,,,,,,,,,,,12239.150491193548,128.12058064516128,3916.1630645161263,136.802419354839,1834.3724193548421,236.665806451613,5009.08393548387,977.942265387097,11285976.0,11432211.0,22718187.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,11370.0,11010.0,9669.0,11149.0,13904.0,10683.0,896.4078312911028,10724.707466666667,607.1244426465237,12796.2633,2342.0552559331527,458.22520000000077,0.032956357882623744,16047.0,2014-06-01
