"Year","Month","Domestic GFA","Non-domestic GFA","Total GFA","Domestic UFA","Non-domestic UFA","Total UFA","Total no. of domestic units#","Total declared building costs (HK$)","Total declared building costs (HK$) (Alteration and Addition work)"
"2011","6","17024.8","39044.7","56069.5","8939.1","23662.4","32601.5","133","1047810000","111196187"
"2011","7","30514","72677.7","103191.7","16430.4","31614","48044.4","195","1214607733","274991305.8"
"2011","8","169015.3","92271.5","261286.8","89979.4","54334.5","144313.9","1931","4686640535","267175579.6"
"2011","9","3405.9","24937.4","28343.3","1519.7","10843.4","12363.1","63","522515786","181553185.4"
"2011","10","20935.5","16250.7","37186.2","11521.8","8050","19571.8","158","954704123","177396164.5"
"2011","11","19202.1","19797.2","38999.3","9616.6","14214.5","23831.1","161","837774000","113027110.2"
"2011","12","220028.1","117226.5","337254.6","127611.7","70483","198094.7","2455","6640276000","163145550.1"
"2012","1","45158.4","237914.7","283073.1","23570.1","169504.4","193074.5","389","8432696000","565698041.9"
"2012","2","20900.8","88052.2","108953","11832","53117.2","64949.2","130","2898592387","100854680"
"2012","3","13546.5","108576.1","122122.6","7474.8","51600.6","59075.4","94","861099959.2","295263887.2"
"2012","4","137807.5","112862.2","250669.7","78732.6","63400.6","142133.2","1444","4742364640","376863970.5"
"2012","5","10563.7","39278.9","49842.6","6579.9","25066.8","31646.7","40","1154927202","440941607"
"2012","6","26845.6","120342.3","147187.9","15091","68658.8","83749.8","182","3446622183","189765616.8"
"2012","7","44289.4","19568.2","63857.6","24010","12640.5","36650.5","149","1325168325","197286218"
"2012","8","106574.7","440429.8","547004.5","58747.8","206630.5","265378.3","854","11179422394","274699755.3"
"2012","9","275128.2","42704","317832.2","153294.6","24175.6","177470.2","2851","4830900534","201416853.5"
"2012","10","50315.4","7364.6","57680","27194.2","5287.5","32481.7","717","1660000000","376604569"
"2012","11","22265.2","72273","94538.2","10058.2","40574.9","50633.1","33","1836952430","297097032.1"
"2012","12","247723","216773.9","464496.9","140601.8","116637.3","257239.1","3266","8941004900","220887210"
"2013","1","20092.8","61797.6","81890.4","12254.2","28182.1","40436.3","203","2039192695","109573931"
"2013","2","2032.8","26188","28220.8","807.4","19686.9","20494.3","25","231670000","292591800"
"2013","3","5861.5","1703.6","7565.1","3438","852.6","4290.6","8","420103546","243220029.5"
"2013","4","102091.1","81918","184009.1","62086.7","50104.7","112191.4","1218","5007623148","299735620"
"2013","5","338.2","70239.9","70578.1","235","35641.9","35876.9","1","1253971420","247061879"
"2013","6","7042.5","3158.5","10201","3063.8","0","3063.8","30","443585274.3","127919229"
