period_month,building_consent_demolition_count,building_consent_site_formation_count,building_consent_foundation_count,building_consent_superstructure_count,building_consent_total_count,occupation_permits_domestic_count,occupation_permits_non_domestic_count,occupation_permits_composite_count,occupation_permits_total_count,occupation_permits_domestic_units,building_completion_domestic_gfa,building_completion_non_domestic_gfa,building_completion_total_gfa,building_completion_domestic_ufa,building_completion_non_domestic_ufa,building_completion_total_ufa,building_completion_domestic_units,building_completion_declared_cost_hkd,building_completion_declared_cost_aa_hkd
2011-06-01,11,13,12,13,49,2,14,2,18,133,17024.8,39044.7,56069.5,8939.1,23662.4,32601.5,133,1047810000.0,111196187.0
2011-07-01,7,12,10,10,39,4,8,3,15,195,30514.0,72677.7,103191.7,16430.4,31614.0,48044.4,195,1214607733.0,274991305.8
2011-08-01,7,6,8,21,42,3,16,6,25,1931,169015.3,92271.5,261286.8,89979.4,54334.5,144313.9,1931,4686640535.0,267175579.6
2011-09-01,9,8,7,16,40,0,5,3,8,63,3405.9,24937.4,28343.3,1519.7,10843.4,12363.1,63,522515786.0,181553185.4
2011-10-01,14,4,10,10,38,2,4,2,8,158,20935.5,16250.7,37186.2,11521.8,8050.0,19571.8,158,954704123.0,177396164.5
2011-11-01,20,9,13,10,52,0,8,3,11,161,19202.1,19797.2,38999.3,9616.6,14214.5,23831.1,161,837774000.0,113027110.2
2011-12-01,12,5,13,11,41,3,5,4,12,2455,220028.1,117226.5,337254.6,127611.7,70483.0,198094.7,2455,6640276000.0,163145550.1
2012-01-01,17,6,9,14,46,4,11,3,18,389,45158.4,237914.7,283073.1,23570.1,169504.4,193074.5,389,8432696000.0,565698041.9
2012-02-01,9,14,7,17,47,5,15,4,24,130,20900.8,88052.2,108953.0,11832.0,53117.2,64949.2,130,2898592387.0,100854680.0
2012-03-01,17,6,18,15,56,4,10,3,17,94,13546.5,108576.1,122122.6,7474.8,51600.6,59075.4,94,861099959.2,295263887.2
2012-04-01,17,7,14,14,52,5,5,4,14,1444,137807.5,112862.2,250669.7,78732.6,63400.6,142133.2,1444,4742364640.0,376863970.5
2012-05-01,8,11,8,13,40,3,10,0,13,40,10563.7,39278.9,49842.6,6579.9,25066.8,31646.7,40,1154927202.0,440941607.0
2012-06-01,13,7,16,12,48,4,10,3,17,182,26845.6,120342.3,147187.9,15091.0,68658.8,83749.8,182,3446622183.0,189765616.8
2012-07-01,15,10,11,20,56,0,5,2,7,144,44289.4,19568.2,63857.6,24010.0,12640.5,36650.5,149,1325168325.0,197286218.0
2012-08-01,7,6,12,17,42,3,13,6,22,854,106574.7,440429.8,547004.5,58747.8,206630.5,265378.3,854,11179422394.0,274699755.3
2012-09-01,12,10,6,25,53,5,12,6,23,2851,275128.2,42704.0,317832.2,153294.6,24175.6,177470.2,2851,4830900534.0,201416853.5
2012-10-01,12,17,9,15,53,1,0,2,3,717,50315.4,7364.6,57680.0,27194.2,5287.5,32481.7,717,1660000000.0,376604569.0
2012-11-01,12,14,13,10,49,2,8,1,11,33,22265.2,72273.0,94538.2,10058.2,40574.9,50633.1,33,1836952430.0,297097032.1
2012-12-01,12,16,11,15,54,2,11,3,16,3266,247723.0,216773.9,464496.9,140601.8,116637.3,257239.1,3266,8941004900.0,220887210.0
2013-01-01,13,2,11,16,42,2,10,1,13,203,20092.8,61797.6,81890.4,12254.2,28182.1,40436.3,203,2039192695.0,109573931.0
2013-02-01,9,6,15,10,40,0,8,2,10,25,2032.8,26188.0,28220.8,807.4,19686.9,20494.3,25,231670000.0,292591800.0
2013-03-01,13,6,7,22,48,3,5,1,9,8,5861.5,1703.6,7565.1,3438.0,852.6,4290.6,8,420103546.0,243220029.5
2013-04-01,9,8,13,12,42,1,6,3,10,1218,102091.1,81918.0,184009.1,62086.7,50104.7,112191.4,1218,5007623148.0,299735620.0
2013-05-01,3,10,9,11,33,1,6,0,7,1,338.2,70239.9,70578.1,235.0,35641.9,35876.9,1,1253971420.0,247061879.0
2013-06-01,7,7,9,16,39,1,3,0,4,30,7042.5,3158.5,10201.0,3063.8,0.0,3063.8,30,443585274.3,127919229.0
2013-07-01,10,7,10,17,44,1,14,1,16,0,19192.3,108043.9,127236.2,8106.6,48190.6,56297.2,0,1604302508.0,392487426.0
2013-08-01,6,11,12,9,38,2,10,1,13,171,28979.6,181645.3,210624.9,15589.9,107403.4,122993.3,171,2729465450.0,423417701.0
2013-09-01,9,7,14,11,41,4,12,3,19,2764,196649.0,108553.2,305202.2,103381.1,79097.0,182478.1,2764,6080869815.0,894583455.0
2013-10-01,8,6,9,19,42,7,8,1,16,2945,153839.0,67838.9,221677.9,89445.6,40330.6,129776.2,2945,6195392411.0,786971040.0
2013-11-01,14,16,12,15,57,2,3,2,7,558,41601.4,49937.9,91539.3,23445.1,22791.9,46237.0,558,1899477000.0,153666606.5
2013-12-01,6,9,13,14,42,6,9,1,16,331,44447.5,88911.4,133358.9,25480.7,51752.8,77233.5,331,3498227516.0,640694234.0
2014-01-01,17,7,17,9,50,3,17,3,23,189,11690.4,72008.7,83699.1,5718.2,39650.7,45368.9,189,1961751623.0,299568421.2
2014-02-01,5,7,14,6,32,1,5,0,6,5,2207.5,24048.3,26255.8,1190.8,17894.4,19085.2,5,441075710.0,665803060.0
2014-03-01,9,8,15,8,40,5,13,5,23,2685,196505.4,127940.3,324445.7,111769.8,69570.2,181340.0,2685,7296867923.0,263472636.0
2014-04-01,13,15,18,21,67,9,6,2,17,1399,86050.7,21367.0,107417.7,48368.0,10649.6,59017.6,1399,1832389338.0,179782010.0
2014-05-01,12,10,12,18,52,2,8,2,12,334,14179.4,42962.5,57141.9,6778.9,18969.6,25748.5,334,1197599935.0,435148997.0
