user_type,user_typedesc,freq,period,sv,svdesc,figure,sd_value,table_title,source_name,prod_type,prod_typedesc
,Total,Y,1979,ELEC_LOCAL,Terajoule,35564,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,Y,1979,ELEC_LOCAL,Terajoule,7556,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,Y,1979,ELEC_LOCAL,Terajoule,13763,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,Y,1979,ELEC_LOCAL,Terajoule,14124,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,Y,1979,ELEC_LOCAL,Terajoule,120,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197901,ELEC_LOCAL,Terajoule,2421,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197901,ELEC_LOCAL,Terajoule,507,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197901,ELEC_LOCAL,Terajoule,918,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197901,ELEC_LOCAL,Terajoule,985,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197901,ELEC_LOCAL,Terajoule,11,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197910,ELEC_LOCAL,Terajoule,3163,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197910,ELEC_LOCAL,Terajoule,644,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197910,ELEC_LOCAL,Terajoule,1241,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197910,ELEC_LOCAL,Terajoule,1268,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197910,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197911,ELEC_LOCAL,Terajoule,2888,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197911,ELEC_LOCAL,Terajoule,527,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197911,ELEC_LOCAL,Terajoule,1134,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197911,ELEC_LOCAL,Terajoule,1217,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197911,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197912,ELEC_LOCAL,Terajoule,2693,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197912,ELEC_LOCAL,Terajoule,508,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197912,ELEC_LOCAL,Terajoule,1020,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197912,ELEC_LOCAL,Terajoule,1154,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197912,ELEC_LOCAL,Terajoule,11,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197902,ELEC_LOCAL,Terajoule,2415,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197902,ELEC_LOCAL,Terajoule,544,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197902,ELEC_LOCAL,Terajoule,970,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197902,ELEC_LOCAL,Terajoule,891,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197902,ELEC_LOCAL,Terajoule,11,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197903,ELEC_LOCAL,Terajoule,2601,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197903,ELEC_LOCAL,Terajoule,520,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197903,ELEC_LOCAL,Terajoule,995,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197903,ELEC_LOCAL,Terajoule,1076,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197903,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197904,ELEC_LOCAL,Terajoule,2676,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197904,ELEC_LOCAL,Terajoule,548,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197904,ELEC_LOCAL,Terajoule,1030,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197904,ELEC_LOCAL,Terajoule,1088,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197904,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197905,ELEC_LOCAL,Terajoule,2943,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197905,ELEC_LOCAL,Terajoule,578,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197905,ELEC_LOCAL,Terajoule,1145,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197905,ELEC_LOCAL,Terajoule,1210,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197905,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197906,ELEC_LOCAL,Terajoule,3127,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197906,ELEC_LOCAL,Terajoule,642,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197906,ELEC_LOCAL,Terajoule,1220,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197906,ELEC_LOCAL,Terajoule,1257,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197906,ELEC_LOCAL,Terajoule,8,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197907,ELEC_LOCAL,Terajoule,3547,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197907,ELEC_LOCAL,Terajoule,822,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197907,ELEC_LOCAL,Terajoule,1373,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197907,ELEC_LOCAL,Terajoule,1342,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,197907,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,197908,ELEC_LOCAL,Terajoule,3641,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,197908,ELEC_LOCAL,Terajoule,893,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,197908,ELEC_LOCAL,Terajoule,1385,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,197908,ELEC_LOCAL,Terajoule,1354,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
