user_type,user_typedesc,freq,period,sv,svdesc,figure,sd_value,table_title,source_name
,Total,Y,2013,ELEC_LOCAL,Terajoule,153201.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
1,Domestic,Y,2013,ELEC_LOCAL,Terajoule,39941.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
2,Commercial,Y,2013,ELEC_LOCAL,Terajoule,101683.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
3,Industrial,Y,2013,ELEC_LOCAL,Terajoule,11190.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
4,Street lighting,Y,2013,ELEC_LOCAL,Terajoule,387.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
,Total,Q,201303,ELEC_LOCAL,Terajoule,31042.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
1,Domestic,Q,201303,ELEC_LOCAL,Terajoule,7236.1224,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
2,Commercial,Q,201303,ELEC_LOCAL,Terajoule,21285.6516,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
3,Industrial,Q,201303,ELEC_LOCAL,Terajoule,2423.2716,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
4,Street lighting,Q,201303,ELEC_LOCAL,Terajoule,96.7032,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
,Total,Q,201306,ELEC_LOCAL,Terajoule,40467.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
1,Domestic,Q,201306,ELEC_LOCAL,Terajoule,10438.0704,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
2,Commercial,Q,201306,ELEC_LOCAL,Terajoule,26939.0016,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
3,Industrial,Q,201306,ELEC_LOCAL,Terajoule,2998.2888,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
4,Street lighting,Q,201306,ELEC_LOCAL,Terajoule,91.6308,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
,Total,Q,201309,ELEC_LOCAL,Terajoule,46770.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
1,Domestic,Q,201309,ELEC_LOCAL,Terajoule,14146.4736,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
2,Commercial,Q,201309,ELEC_LOCAL,Terajoule,29475.1908,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
3,Industrial,Q,201309,ELEC_LOCAL,Terajoule,3053.502,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
4,Street lighting,Q,201309,ELEC_LOCAL,Terajoule,94.698,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
,Total,Q,201312,ELEC_LOCAL,Terajoule,34922.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
1,Domestic,Q,201312,ELEC_LOCAL,Terajoule,8120.0196,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
2,Commercial,Q,201312,ELEC_LOCAL,Terajoule,23982.7464,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
3,Industrial,Q,201312,ELEC_LOCAL,Terajoule,2715.1884,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
4,Street lighting,Q,201312,ELEC_LOCAL,Terajoule,104.1552,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
,Total,Y,2014,ELEC_LOCAL,Terajoule,157967.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
1,Domestic,Y,2014,ELEC_LOCAL,Terajoule,43415.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
2,Commercial,Y,2014,ELEC_LOCAL,Terajoule,102885.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
3,Industrial,Y,2014,ELEC_LOCAL,Terajoule,11281.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
4,Street lighting,Y,2014,ELEC_LOCAL,Terajoule,386.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
,Total,Q,201403,ELEC_LOCAL,Terajoule,31200.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
1,Domestic,Q,201403,ELEC_LOCAL,Terajoule,7970.0544,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
2,Commercial,Q,201403,ELEC_LOCAL,Terajoule,20797.5924,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
3,Industrial,Q,201403,ELEC_LOCAL,Terajoule,2331.288,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
4,Street lighting,Q,201403,ELEC_LOCAL,Terajoule,100.638,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
,Total,Q,201406,ELEC_LOCAL,Terajoule,41778.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
1,Domestic,Q,201406,ELEC_LOCAL,Terajoule,10994.8356,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
2,Commercial,Q,201406,ELEC_LOCAL,Terajoule,27621.3708,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
3,Industrial,Q,201406,ELEC_LOCAL,Terajoule,3073.104,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
4,Street lighting,Q,201406,ELEC_LOCAL,Terajoule,89.0964,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
,Total,Q,201409,ELEC_LOCAL,Terajoule,49718.0,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
1,Domestic,Q,201409,ELEC_LOCAL,Terajoule,16069.5252,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
2,Commercial,Q,201409,ELEC_LOCAL,Terajoule,30432.0348,,Local consumption of electricity and gas by type of users and sales revenue from locally sold,censtatd_local_consumption_revenue_quarterly
