period_month,electricity_commercial_tj,electricity_domestic_tj,electricity_industrial_tj,electricity_street_lighting_tj,electricity_total_tj,gas_total_tj,electricity_export_to_mainland_tj
1979-01-01,918.0,507.0,985.0,11.0,2421.0,253.0,
1979-02-01,970.0,544.0,891.0,11.0,2415.0,268.0,
1979-03-01,995.0,520.0,1076.0,10.0,2601.0,264.0,
1979-04-01,1030.0,548.0,1088.0,10.0,2676.0,263.0,
1979-05-01,1145.0,578.0,1210.0,10.0,2943.0,244.0,
1979-06-01,1220.0,642.0,1257.0,8.0,3127.0,255.0,
1979-07-01,1373.0,822.0,1342.0,10.0,3547.0,239.0,
1979-08-01,1385.0,893.0,1354.0,9.0,3641.0,224.0,
1979-09-01,1331.0,824.0,1283.0,9.0,3447.0,233.0,
1979-10-01,1241.0,644.0,1268.0,10.0,3163.0,238.0,
1979-11-01,1134.0,527.0,1217.0,10.0,2888.0,263.0,
1979-12-01,1020.0,508.0,1154.0,11.0,2693.0,277.0,
1980-01-01,1064.0,558.0,1185.0,12.0,2819.0,314.0,
1980-02-01,954.0,564.0,893.0,12.0,2423.0,321.0,
1980-03-01,1006.0,535.0,1034.0,11.0,2586.0,310.0,
1980-04-01,1168.0,560.0,1260.0,11.0,2999.0,324.0,
1980-05-01,1279.0,582.0,1342.0,10.0,3213.0,291.0,
1980-06-01,1418.0,738.0,1315.0,10.0,3481.0,286.0,
1980-07-01,1618.0,1044.0,1447.0,10.0,4119.0,265.0,
1980-08-01,1556.0,983.0,1425.0,10.0,3974.0,256.0,
1980-09-01,1559.0,945.0,1383.0,11.0,3898.0,257.0,
1980-10-01,1519.0,764.0,1366.0,11.0,3660.0,278.0,
1980-11-01,1302.0,608.0,1253.0,12.0,3175.0,299.0,
1980-12-01,1205.0,533.0,1223.0,12.0,2973.0,323.0,
1981-01-01,1155.0,599.0,1163.0,12.0,2929.0,363.0,
1981-02-01,1106.0,585.0,855.0,13.0,2559.0,378.0,
1981-03-01,1180.0,546.0,1120.0,12.0,2858.0,335.0,
1981-04-01,1364.0,612.0,1247.0,11.0,3234.0,343.0,
1981-05-01,1488.0,681.0,1376.0,11.0,3556.0,329.0,
1981-06-01,1568.0,736.0,1404.0,11.0,3719.0,333.0,
1981-07-01,1735.0,967.0,1466.0,11.0,4179.0,315.0,
1981-08-01,1721.0,1049.0,1458.0,11.0,4239.0,311.0,
1981-09-01,1759.0,1029.0,1498.0,12.0,4298.0,308.0,
1981-10-01,1642.0,786.0,1388.0,12.0,3828.0,311.0,
1981-11-01,1377.0,595.0,1252.0,12.0,3236.0,344.0,
1981-12-01,1246.0,550.0,1181.0,13.0,2990.0,364.0,
1982-01-01,1209.0,587.0,996.0,13.0,2805.0,408.0,
1982-02-01,1192.0,611.0,916.0,14.0,2733.0,423.0,
1982-03-01,1343.0,579.0,1171.0,12.0,3105.0,419.0,
1982-04-01,1423.0,625.0,1234.0,12.0,3294.0,393.0,
1982-05-01,1638.0,659.0,1367.0,12.0,3676.0,388.0,
1982-06-01,1854.0,788.0,1406.0,11.0,4059.0,386.0,
1982-07-01,2040.0,1011.0,1514.0,11.0,4576.0,382.0,
1982-08-01,1980.0,1137.0,1456.0,12.0,4585.0,376.0,
1982-09-01,2085.0,1074.0,1478.0,13.0,4650.0,378.0,
1982-10-01,1901.0,863.0,1350.0,13.0,4127.0,391.0,
1982-11-01,1779.0,693.0,1343.0,17.0,3832.0,444.0,
1982-12-01,1508.0,601.0,1207.0,13.0,3329.0,471.0,
1983-01-01,1458.0,678.0,1134.0,15.0,3285.0,512.0,
1983-02-01,1409.0,691.0,906.0,15.0,3021.0,547.0,
1983-03-01,1486.0,693.0,1065.0,14.0,3258.0,517.0,
1983-04-01,1731.0,753.0,1295.0,14.0,3793.0,524.0,
1983-05-01,1946.0,747.0,1444.0,13.0,4150.0,499.0,
1983-06-01,2139.0,972.0,1561.0,14.0,4686.0,474.0,
1983-07-01,2276.0,1260.0,1656.0,13.0,5205.0,455.0,
1983-08-01,2307.0,1251.0,1688.0,14.0,5260.0,436.0,
1983-09-01,2333.0,1234.0,1620.0,14.0,5201.0,431.0,
1983-10-01,2194.0,1053.0,1554.0,14.0,4815.0,459.0,
1983-11-01,1917.0,723.0,1489.0,15.0,4144.0,515.0,
1983-12-01,1653.0,631.0,1409.0,15.0,3708.0,555.0,
1984-01-01,1617.0,752.0,1342.0,17.0,3728.0,615.0,
1984-02-01,1546.0,783.0,1049.0,17.0,3395.0,633.0,
1984-03-01,1649.0,681.0,1314.0,17.0,3661.0,618.0,
1984-04-01,1790.0,714.0,1417.0,18.0,3939.0,590.0,
1984-05-01,2028.0,751.0,1635.0,17.0,4431.0,577.0,
1984-06-01,2314.0,1013.0,1674.0,15.0,5016.0,558.0,
1984-07-01,2455.0,1206.0,1783.0,14.0,5458.0,536.0,
1984-08-01,2509.0,1298.0,1843.0,15.0,5665.0,510.0,
1984-09-01,2418.0,1213.0,1742.0,16.0,5389.0,515.0,
1984-10-01,2352.0,985.0,1702.0,14.0,5053.0,531.0,
1984-11-01,2082.0,740.0,1593.0,18.0,4433.0,592.0,
1984-12-01,1850.0,680.0,1451.0,18.0,3999.0,631.0,
1985-01-01,1820.0,825.0,1417.0,19.0,4081.0,714.0,
1985-02-01,1620.0,720.0,1094.0,18.0,3452.0,752.0,
1985-03-01,1728.0,766.0,1138.0,20.0,3652.0,717.0,
1985-04-01,1900.0,770.0,1413.0,19.0,4102.0,735.0,
1985-05-01,2364.0,877.0,1675.0,18.0,4934.0,670.0,
1985-06-01,2403.0,1096.0,1681.0,16.0,5196.0,623.0,
1985-07-01,2607.0,1215.0,1786.0,15.0,5623.0,586.0,
1985-08-01,2810.0,1411.0,1900.0,16.0,6137.0,581.0,
1985-09-01,2535.0,1207.0,1697.0,17.0,5456.0,581.0,
1985-10-01,2636.0,1022.0,1789.0,16.0,5463.0,632.0,
1985-11-01,2364.0,867.0,1710.0,17.0,4958.0,664.0,
1985-12-01,2007.0,743.0,1520.0,18.0,4288.0,724.0,
1986-01-01,2054.0,844.0,1534.0,17.0,4449.0,811.0,
1986-02-01,1745.0,803.0,1081.0,18.0,3647.0,843.0,
1986-03-01,1744.0,769.0,1284.0,18.0,3815.0,754.0,
1986-04-01,2321.0,861.0,1762.0,18.0,4962.0,744.0,
1986-05-01,2558.0,901.0,1861.0,18.0,5338.0,762.0,
1986-06-01,2743.0,1213.0,1949.0,18.0,5923.0,747.0,
1986-07-01,2961.0,1520.0,2094.0,18.0,6593.0,688.0,
1986-08-01,2914.0,1537.0,2108.0,18.0,6577.0,668.0,
1986-09-01,2945.0,1616.0,2085.0,18.0,6664.0,677.0,
1986-10-01,2699.0,1121.0,2023.0,18.0,5861.0,698.0,
1986-11-01,2339.0,858.0,1827.0,18.0,5042.0,785.0,
1986-12-01,2156.0,765.0,1784.0,18.0,4723.0,865.0,
1987-01-01,2074.0,842.0,1629.0,18.0,4563.0,954.0,
1987-02-01,2151.0,840.0,1393.0,18.0,4402.0,924.0,
1987-03-01,2280.0,803.0,1785.0,18.0,4886.0,846.0,
1987-04-01,2483.0,904.0,1909.0,18.0,5314.0,829.0,
1987-05-01,2684.0,987.0,2075.0,18.0,5764.0,901.0,
1987-06-01,2906.0,1222.0,2139.0,19.0,6286.0,896.0,
1987-07-01,3290.0,1749.0,2339.0,19.0,7397.0,864.0,
1987-08-01,3099.0,1744.0,2262.0,19.0,7124.0,813.0,
1987-09-01,3313.0,1775.0,2389.0,19.0,7496.0,800.0,
1987-10-01,3019.0,1258.0,2172.0,19.0,6468.0,857.0,
1987-11-01,2717.0,998.0,2035.0,19.0,5769.0,912.0,
1987-12-01,2386.0,900.0,1851.0,19.0,5156.0,987.0,
1988-01-01,2391.0,916.0,1816.0,19.0,5142.0,1102.0,
1988-02-01,2187.0,829.0,1477.0,19.0,4512.0,1054.0,
1988-03-01,2388.0,976.0,1664.0,19.0,5047.0,1066.0,
1988-04-01,2547.0,1017.0,1953.0,18.0,5535.0,1059.0,
1988-05-01,3024.0,1180.0,2203.0,19.0,6426.0,1030.0,
1988-06-01,3336.0,1645.0,2331.0,18.0,7330.0,1029.0,
1988-07-01,3472.0,2037.0,2385.0,19.0,7913.0,955.0,
1988-08-01,3413.0,1962.0,2412.0,19.0,7806.0,875.0,
1988-09-01,3536.0,1956.0,2417.0,19.0,7928.0,898.0,
1988-10-01,3169.0,1351.0,2243.0,19.0,6782.0,978.0,
1988-11-01,2807.0,963.0,2050.0,19.0,5839.0,1053.0,
1988-12-01,2549.0,881.0,1926.0,19.0,5375.0,1148.0,
1989-01-01,2623.0,1013.0,1915.0,20.0,5571.0,1264.0,
1989-02-01,2329.0,1023.0,1331.0,20.0,4703.0,1265.0,
1989-03-01,2570.0,903.0,1826.0,20.0,5319.0,1198.0,
1989-04-01,2841.0,1037.0,2006.0,20.0,5904.0,1154.0,
1989-05-01,3203.0,1142.0,2185.0,20.0,6550.0,1104.0,
1989-06-01,3535.0,1599.0,2317.0,20.0,7471.0,1092.0,
1989-07-01,3762.0,2134.0,2457.0,20.0,8373.0,1065.0,
1989-08-01,3763.0,2171.0,2468.0,20.0,8422.0,1038.0,
1989-09-01,3918.0,2370.0,2455.0,20.0,8763.0,1029.0,
1989-10-01,3535.0,1647.0,2289.0,20.0,7491.0,1054.0,
1989-11-01,3247.0,1090.0,2091.0,20.0,6448.0,1145.0,
1989-12-01,2772.0,946.0,1838.0,20.0,5576.0,1262.0,
1990-01-01,2739.0,1069.0,1729.0,20.0,5557.0,1349.0,
1990-02-01,2657.0,1117.0,1394.0,20.0,5188.0,1339.0,
1990-03-01,2830.0,1045.0,1865.0,21.0,5761.0,1345.0,
1990-04-01,3078.0,1093.0,1971.0,21.0,6163.0,1282.0,
1990-05-01,3382.0,1194.0,2140.0,20.0,6736.0,1231.0,
1990-06-01,3901.0,1640.0,2362.0,21.0,7924.0,1282.0,
1990-07-01,4164.0,2537.0,2421.0,21.0,9143.0,1207.0,
1990-08-01,4242.0,2665.0,2479.0,21.0,9407.0,1138.0,
1990-09-01,4101.0,2697.0,2369.0,21.0,9188.0,1118.0,
1990-10-01,3836.0,1772.0,2216.0,21.0,7845.0,1101.0,
1990-11-01,3594.0,1202.0,2113.0,21.0,6930.0,1274.0,
1990-12-01,3056.0,1007.0,1873.0,21.0,5957.0,1391.0,
1991-01-01,3198.0,1130.0,1898.0,21.0,6247.0,1505.0,
1991-02-01,2766.0,1057.0,1385.0,21.0,5229.0,1442.0,
1991-03-01,2994.0,1065.0,1624.0,21.0,5704.0,1344.0,
1991-04-01,3603.0,1236.0,2159.0,21.0,7019.0,1360.0,
1991-05-01,3909.0,1361.0,2245.0,21.0,7536.0,1314.0,
1991-06-01,4170.0,2403.0,2319.0,21.0,8913.0,1342.0,
1991-07-01,4494.0,2630.0,2444.0,22.0,9590.0,1262.0,
1991-08-01,4576.0,2762.0,2455.0,22.0,9815.0,1220.0,
1991-09-01,4343.0,2629.0,2298.0,22.0,9292.0,1261.0,
1991-10-01,4238.0,2048.0,2304.0,22.0,8612.0,1280.0,
1991-11-01,3623.0,1230.0,2069.0,22.0,6944.0,1381.0,
1991-12-01,3330.0,1036.0,1850.0,22.0,6238.0,1525.0,
1992-01-01,3398.0,1301.0,1891.0,22.0,6612.0,1680.0,
1992-02-01,3005.0,1255.0,1337.0,22.0,5619.0,1685.0,
