user_type,user_typedesc,freq,period,sv,svdesc,figure,sd_value,period_month
2,Commercial,M,197901,ELEC_LOCAL,Terajoule,918.0,,1979-01-01
1,Domestic,M,197901,ELEC_LOCAL,Terajoule,507.0,,1979-01-01
3,Industrial,M,197901,ELEC_LOCAL,Terajoule,985.0,,1979-01-01
4,Street lighting,M,197901,ELEC_LOCAL,Terajoule,11.0,,1979-01-01
,Total,M,197901,ELEC_LOCAL,Terajoule,2421.0,,1979-01-01
,,M,197901,ELE_EX_CHN,Terajoule,,-,1979-01-01
2,Commercial,M,197901,GASC_LOCAL,Terajoule,104.0,,1979-01-01
1,Domestic,M,197901,GASC_LOCAL,Terajoule,134.0,,1979-01-01
3,Industrial,M,197901,GASC_LOCAL,Terajoule,15.0,,1979-01-01
,Total,M,197901,GASC_LOCAL,Terajoule,253.0,,1979-01-01
2,Commercial,M,197902,ELEC_LOCAL,Terajoule,970.0,,1979-02-01
1,Domestic,M,197902,ELEC_LOCAL,Terajoule,544.0,,1979-02-01
3,Industrial,M,197902,ELEC_LOCAL,Terajoule,891.0,,1979-02-01
4,Street lighting,M,197902,ELEC_LOCAL,Terajoule,11.0,,1979-02-01
,Total,M,197902,ELEC_LOCAL,Terajoule,2415.0,,1979-02-01
,,M,197902,ELE_EX_CHN,Terajoule,,-,1979-02-01
2,Commercial,M,197902,GASC_LOCAL,Terajoule,110.0,,1979-02-01
1,Domestic,M,197902,GASC_LOCAL,Terajoule,145.0,,1979-02-01
3,Industrial,M,197902,GASC_LOCAL,Terajoule,14.0,,1979-02-01
,Total,M,197902,GASC_LOCAL,Terajoule,268.0,,1979-02-01
2,Commercial,M,197903,ELEC_LOCAL,Terajoule,995.0,,1979-03-01
1,Domestic,M,197903,ELEC_LOCAL,Terajoule,520.0,,1979-03-01
3,Industrial,M,197903,ELEC_LOCAL,Terajoule,1076.0,,1979-03-01
4,Street lighting,M,197903,ELEC_LOCAL,Terajoule,10.0,,1979-03-01
,Total,M,197903,ELEC_LOCAL,Terajoule,2601.0,,1979-03-01
,,M,197903,ELE_EX_CHN,Terajoule,,-,1979-03-01
2,Commercial,M,197903,GASC_LOCAL,Terajoule,107.0,,1979-03-01
1,Domestic,M,197903,GASC_LOCAL,Terajoule,141.0,,1979-03-01
3,Industrial,M,197903,GASC_LOCAL,Terajoule,16.0,,1979-03-01
