year,population,district_area_m2,population_density_per_km2
2019,7506300,1301677230.8828125,5766.636937260661
2020,7480600,1301677230.8828125,5746.893179445546
2021,7579100,1301677230.8828125,5822.564780410093
2022,7648800,1301677230.8828125,5876.1110807880505
2023,7696700,1301677230.8828125,5912.909757805328
2024,7737300,1301677230.8828125,5944.100285715587
2025,7773800,1301677230.8828125,5972.141031250673
2026,7805300,1301677230.8828125,5996.340578767254
2027,7834300,1301677230.8828125,6018.619527274583
2028,7863800,1301677230.8828125,6041.282595583762
2029,7892600,1301677230.8828125,6063.40789617035
