period_month,hkelectric_re_generation_solar_photovoltaic,hkelectric_re_generation_wind_power,hkelectric_re_generation_grand_total
2021-01-01,284322,73094,357416
2021-02-01,321173,71642,392815
2021-03-01,340210,81726,421936
2021-04-01,369107,98057,467164
2021-05-01,481269,53472,534741
2021-06-01,365298,72464,437762
2021-07-01,514343,58432,572775
2021-08-01,470936,29732,500668
2021-09-01,584288,37433,621721
2021-10-01,425260,120056,545316
2021-11-01,488688,53056,541744
2021-12-01,399236,70060,469296
2022-01-01,375219,57925,433144
2022-02-01,333715,102578,436293
2022-03-01,539185,71164,610349
2022-04-01,674581,62367,736948
2022-05-01,583863,66725,650588
2022-06-01,591770,50481,642251
2022-07-01,851005,43664,894669
2022-08-01,790901,42073,832974
2022-09-01,868999,82207,951206
2022-10-01,873014,127839,1000853
2022-11-01,498814,106261,605075
2022-12-01,648546,82301,730847
2023-01-01,593283,59464,652747
2023-02-01,703538,77585,781123
2023-03-01,714876,73984,788860
2023-04-01,629469,85493,714962
2023-05-01,858122,64873,922995
2023-06-01,921002,37681,958683
2023-07-01,1205760,28362,1234122
2023-08-01,1054730,24111,1078841
2023-09-01,931012,60652,991664
2023-10-01,829488,85100,914588
2023-11-01,937408,19273,956681
2023-12-01,712449,60512,772961
2024-01-01,854568,72592,927160
2024-02-01,793790,69466,863256
2024-03-01,974401,95929,1070330
2024-04-01,821837,61912,883749
2024-05-01,1015506,113102,1128608
2024-06-01,1056000,75823,1131823
2024-07-01,1362726,60903,1423629
2024-08-01,1388566,25153,1413719
2024-09-01,1330736,26661,1357397
2024-10-01,1405619,94189,1499808
2024-11-01,922700,43490,966190
2024-12-01,1117257,46965,1164222
2025-01-01,1169866,78645,1248511
2025-02-01,989688,59388,1049076
2025-03-01,1250348,37276,1287624
2025-04-01,1318739,47084,1365823
2025-05-01,1419691,61616,1481307
2025-06-01,1444162,37411,1481573
2025-07-01,1520552,36795,1557347
2025-08-01,1392862,51399,1444261
2025-09-01,1493245,38910,1532155
2025-10-01,1367689,61024,1428713
2025-11-01,1191525,61008,1252533
2025-12-01,1035481,51328,1086809
2026-01-01,1290527,60248,1350775
