period_month,occupation_permits_domestic_count,occupation_permits_non_domestic_count,occupation_permits_composite_count,occupation_permits_total_count,occupation_permits_domestic_units
2011-06-01,2,14,2,18,133
2011-07-01,4,8,3,15,195
2011-08-01,3,16,6,25,1931
2011-09-01,0,5,3,8,63
2011-10-01,2,4,2,8,158
2011-11-01,0,8,3,11,161
2011-12-01,3,5,4,12,2455
2012-01-01,4,11,3,18,389
2012-02-01,5,15,4,24,130
2012-03-01,4,10,3,17,94
2012-04-01,5,5,4,14,1444
2012-05-01,3,10,0,13,40
2012-06-01,4,10,3,17,182
2012-07-01,0,5,2,7,144
2012-08-01,3,13,6,22,854
2012-09-01,5,12,6,23,2851
2012-10-01,1,0,2,3,717
2012-11-01,2,8,1,11,33
2012-12-01,2,11,3,16,3266
2013-01-01,2,10,1,13,203
2013-02-01,0,8,2,10,25
2013-03-01,3,5,1,9,8
2013-04-01,1,6,3,10,1218
2013-05-01,1,6,0,7,1
2013-06-01,1,3,0,4,30
2013-07-01,1,14,1,16,0
2013-08-01,2,10,1,13,171
2013-09-01,4,12,3,19,2764
2013-10-01,7,8,1,16,2945
2013-11-01,2,3,2,7,558
2013-12-01,6,9,1,16,331
2014-01-01,3,17,3,23,189
2014-02-01,1,5,0,6,5
2014-03-01,5,13,5,23,2685
2014-04-01,9,6,2,17,1399
2014-05-01,2,8,2,12,334
2014-06-01,6,8,6,20,2920
2014-07-01,8,3,5,16,1739
2014-08-01,1,12,5,18,386
2014-09-01,6,13,2,21,2527
2014-10-01,1,12,3,16,109
2014-11-01,1,6,4,11,849
2014-12-01,4,9,4,17,2577
2015-01-01,4,6,2,12,233
2015-02-01,6,12,2,20,125
2015-03-01,8,14,3,25,495
2015-04-01,2,7,1,10,2084
2015-05-01,2,5,1,8,409
2015-06-01,6,3,9,18,2712
2015-07-01,6,10,2,18,744
2015-08-01,4,15,3,22,498
2015-09-01,2,6,3,11,1620
2015-10-01,5,7,1,13,1121
2015-11-01,3,11,6,20,1317
2015-12-01,10,15,2,27,1248
2016-01-01,2,11,1,14,199
2016-02-01,3,7,3,13,771
2016-03-01,4,16,2,22,833
2016-04-01,7,8,2,17,530
2016-05-01,4,13,3,20,2441
2016-06-01,9,9,5,23,2643
2016-07-01,3,10,3,16,1311
2016-08-01,7,13,4,24,803
2016-09-01,7,14,5,26,1224
2016-10-01,3,8,3,14,674
2016-11-01,4,15,3,22,632
2016-12-01,6,9,4,19,2533
2017-01-01,2,12,2,16,181
2017-02-01,2,6,2,10,148
2017-03-01,6,12,4,22,4181
2017-04-01,4,7,2,13,1066
2017-05-01,2,17,4,23,1012
2017-06-01,5,11,4,20,2341
2017-07-01,6,11,2,19,2464
2017-08-01,4,13,2,19,1183
2017-09-01,4,14,0,18,481
2017-10-01,4,6,1,11,1218
2017-11-01,3,11,1,15,476
2017-12-01,2,10,6,18,3180
2018-01-01,3,12,2,17,344
2018-02-01,6,8,0,14,488
2018-03-01,3,17,3,23,427
2018-04-01,3,19,3,25,1204
2018-05-01,3,9,4,16,2717
2018-06-01,3,19,1,23,1056
2018-07-01,2,12,9,23,2932
2018-08-01,4,15,4,23,2414
2018-09-01,4,11,3,18,1095
2018-10-01,4,12,4,20,409
2018-11-01,5,10,1,16,2617
2018-12-01,4,8,6,18,5281
2019-01-01,2,13,1,16,421
2019-02-01,0,16,1,17,118
2019-03-01,3,14,2,19,432
2019-04-01,6,11,3,20,1545
2019-05-01,4,16,1,21,1347
2019-06-01,3,13,3,19,1871
2019-07-01,5,11,2,18,526
2019-08-01,2,10,1,13,205
