period_month,cross_harbour_av_pax,cross_harbour_db_pax,cross_harbour_total_pax
2013-01-01,11715061,11657370,23372431
2013-02-01,10558753,10614226,21172979
2013-03-01,11475097,12013781,23488878
2013-04-01,11652745,11035449,22688194
2013-05-01,11045490,11113912,22159402
2013-06-01,10929768,11192031,22121799
2013-07-01,11955551,11817815,23773366
2013-08-01,12584175,12481368,25065543
2013-09-01,11153581,11089913,22243494
2013-10-01,11765822,11728514,23494336
2013-11-01,11497364,11524165,23021529
2013-12-01,12405781,12394596,24800377
2014-01-01,12021979,12578833,24600812
2014-02-01,10936747,10310924,21247671
2014-03-01,11795020,11805637,23600657
2014-04-01,12354742,12350420,24705162
2014-05-01,11285976,11432211,22718187
2014-06-01,11346021,11332325,22678346
2014-07-01,12292081,12321376,24613457
2014-08-01,13498072,13284718,26782790
2014-09-01,11606067,11736976,23343043
2014-10-01,12477174,12342231,24819405
2014-11-01,12546721,12515283,25062004
2014-12-01,13141353,13244387,26385740
2015-01-01,12849938,12721868,25571806
2015-02-01,11849694,12042396,23892090
2015-03-01,11856304,11845791,23702095
2015-04-01,12957744,12844315,25802059
2015-05-01,12156785,12145090,24301875
2015-06-01,11454113,11573150,23027263
2015-07-01,12082187,12142736,24224923
2015-08-01,13394817,13143204,26538021
2015-09-01,11922975,11986237,23909212
2015-10-01,12534640,12505326,25039966
2015-11-01,12384604,12294730,24679334
2015-12-01,12876520,13056448,25932968
2016-01-01,12749418,12516395,25265813
2016-02-01,11085714,11133066,22218780
2016-03-01,12112590,12397536,24510126
2016-04-01,12435100,12250516,24685616
2016-05-01,12182443,12125962,24308405
2016-06-01,11646662,11823275,23469937
2016-07-01,12866246,12879735,25745981
2016-08-01,12753051,12478075,25231126
2016-09-01,11956161,11990839,23947000
2016-10-01,12630092,12545584,25175676
2016-11-01,12464636,12445829,24910465
2016-12-01,13511091,13716537,27227628
2017-01-01,13045171,13460773,26505944
2017-02-01,11227066,10600548,21827614
2017-03-01,12293905,12410330,24704235
2017-04-01,13235199,13340990,26576189
2017-05-01,12406182,12278228,24684410
2017-06-01,11472582,11562667,23035249
