period_month,mode,ttd_pto_code,avg_daily_pax
2013-01-01,PLB,GMB,1524.98632258065
2013-01-01,PLB,RMB,358.301193548387
2013-01-01,Ferries,NWFF,35.1297419354839
2013-01-01,Ferries,STF,57.0317419354839
2013-01-01,Ferries,LFS,35.7213870967742
2013-01-01,TAX,TAX,975.288438483871
2013-01-01,RS,RS,238.447612903226
2013-01-01,LRB,LRB,130.447129032258
2013-01-01,Fran_Bus,KMB,2641.37796774194
2013-01-01,Fran_Bus,CTB,635.706677419355
2013-01-01,Fran_Bus,NWFB,502.306870967742
2013-01-01,Fran_Bus,LWB,84.2748387096774
2013-01-01,Fran_Bus,NLB,61.6246129032258
2013-01-01,Railways,MTRC,4382.50706451613
2013-01-01,Railways,MTRC,33.4174516129032
2013-01-01,Railways,MTRC,464.254161290323
2013-01-01,Railways,HKT,205.853290322581
2013-02-01,PLB,GMB,1488.92578571429
2013-02-01,PLB,RMB,344.863785714286
2013-02-01,Ferries,NWFF,39.285
2013-02-01,Ferries,STF,60.7553928571429
2013-02-01,Ferries,LFS,37.431
2013-02-01,TAX,TAX,1016.26155175
2013-02-01,RS,RS,228.953214285714
2013-02-01,LRB,LRB,122.869821428571
2013-02-01,Fran_Bus,KMB,2614.20314285714
2013-02-01,Fran_Bus,CTB,639.669142857143
2013-02-01,Fran_Bus,NWFB,489.007357142857
2013-02-01,Fran_Bus,LWB,86.8262857142857
2013-02-01,Fran_Bus,NLB,67.5731785714286
2013-02-01,Railways,MTRC,4220.18185714286
2013-02-01,Railways,MTRC,33.2997142857143
2013-02-01,Railways,MTRC,452.537035714286
2013-02-01,Railways,HKT,201.584642857143
2013-03-01,PLB,GMB,1503.2524516129
2013-03-01,PLB,RMB,347.577193548387
2013-03-01,Ferries,NWFF,39.5310322580645
2013-03-01,Ferries,STF,58.1826774193548
2013-03-01,Ferries,LFS,37.7537419354839
2013-03-01,TAX,TAX,1023.49893954839
2013-03-01,RS,RS,234.407677419355
2013-03-01,LRB,LRB,127.431451612903
2013-03-01,Fran_Bus,KMB,2600.36538709677
2013-03-01,Fran_Bus,CTB,633.275193548387
2013-03-01,Fran_Bus,NWFB,492.238419354839
2013-03-01,Fran_Bus,LWB,86.9775161290323
2013-03-01,Fran_Bus,NLB,63.5211290322581
2013-03-01,Railways,MTRC,4258.662
2013-03-01,Railways,MTRC,36.964935483871
2013-03-01,Railways,MTRC,457.454516129032
2013-03-01,Railways,HKT,200.420580645161
2013-04-01,PLB,GMB,1495.83953333333
2013-04-01,PLB,RMB,350.3562
2013-04-01,Ferries,NWFF,38.0826333333333
2013-04-01,Ferries,STF,55.0360333333333
2013-04-01,Ferries,LFS,36.5090333333333
2013-04-01,TAX,TAX,971.472274633333
2013-04-01,RS,RS,235.974166666667
2013-04-01,LRB,LRB,126.835
2013-04-01,Fran_Bus,KMB,2560.34353333333
2013-04-01,Fran_Bus,CTB,622.486933333333
2013-04-01,Fran_Bus,NWFB,489.1835
2013-04-01,Fran_Bus,LWB,87.6753
2013-04-01,Fran_Bus,NLB,60.2595333333333
2013-04-01,Railways,MTRC,4202.97933333333
2013-04-01,Railways,MTRC,37.7616333333333
2013-04-01,Railways,MTRC,456.175166666667
2013-04-01,Railways,HKT,195.311433333333
2013-05-01,RS,RS,238.662193548387
2013-05-01,LRB,LRB,129.236096774194
2013-05-01,PLB,GMB,1496.85106451613
2013-05-01,PLB,RMB,351.793580645161
2013-05-01,Ferries,NWFF,39.8476129032258
2013-05-01,Ferries,STF,62.9531612903226
2013-05-01,Ferries,LFS,37.0776451612903
2013-05-01,TAX,TAX,1001.99468532258
2013-05-01,Fran_Bus,KMB,2583.66983870968
2013-05-01,Fran_Bus,CTB,627.003129032258
2013-05-01,Fran_Bus,NWFB,492.901580645161
2013-05-01,Fran_Bus,LWB,88.6965161290323
2013-05-01,Fran_Bus,NLB,61.4687741935484
2013-05-01,Railways,MTRC,4220.47367741935
2013-05-01,Railways,MTRC,34.9531935483871
2013-05-01,Railways,MTRC,467.58835483871
2013-05-01,Railways,HKT,190.337258064516
2013-06-01,LRB,LRB,128.717433333333
2013-06-01,Railways,MTRC,35.9844666666667
2013-06-01,TAX,TAX,1029.73028626667
2013-06-01,Ferries,LFS,36.0482333333333
2013-06-01,Ferries,STF,56.9130333333333
2013-06-01,Ferries,NWFF,39.2706333333333
2013-06-01,Railways,HKT,190.9015
2013-06-01,Railways,MTRC,478.194233333333
2013-06-01,PLB,GMB,1514.0946
2013-06-01,PLB,RMB,351.353766666667
2013-06-01,Fran_Bus,KMB,2561.18846666667
2013-06-01,Fran_Bus,CTB,634.893766666667
2013-06-01,Fran_Bus,NWFB,491.615766666667
2013-06-01,Fran_Bus,LWB,92.1593333333333
2013-06-01,Fran_Bus,NLB,63.291
2013-06-01,Railways,MTRC,4227.67373333333
2013-06-01,RS,RS,241.401766666667
2013-07-01,Railways,MTRC,4407.11238709677
2013-07-01,Fran_Bus,NLB,64.9836451612903
2013-07-01,Fran_Bus,LWB,94.9081290322581
2013-07-01,Fran_Bus,NWFB,497.948483870968
2013-07-01,Fran_Bus,CTB,652.053161290322
2013-07-01,Fran_Bus,KMB,2587.17903225806
2013-07-01,PLB,RMB,356.536612903226
2013-07-01,PLB,GMB,1512.61316129032
2013-07-01,Railways,MTRC,37.478
2013-07-01,LRB,LRB,127.528258064516
2013-07-01,RS,RS,236.431774193548
2013-07-01,TAX,TAX,1037.58866122581
2013-07-01,Ferries,LFS,33.8895483870968
2013-07-01,Ferries,STF,60.4667419354839
2013-07-01,Ferries,NWFF,40.6991935483871
2013-07-01,Railways,HKT,190.047064516129
2013-07-01,Railways,MTRC,478.085322580645
2013-08-01,Railways,MTRC,38.5073225806452
2013-08-01,LRB,LRB,124.52364516129
2013-08-01,Railways,HKT,187.209290322581
2013-08-01,PLB,RMB,360.027322580645
2013-08-01,Ferries,NWFF,41.895935483871
2013-08-01,Ferries,STF,60.5133870967742
2013-08-01,Ferries,LFS,34.9317419354839
2013-08-01,TAX,TAX,1047.03174648387
2013-08-01,Railways,MTRC,4393.20970967742
2013-08-01,Fran_Bus,NLB,65.7031935483871
2013-08-01,Fran_Bus,LWB,95.3805806451613
2013-08-01,Fran_Bus,NWFB,488.598032258065
2013-08-01,Fran_Bus,CTB,648.162161290323
2013-08-01,Fran_Bus,KMB,2547.35409677419
2013-08-01,PLB,GMB,1491.508
2013-08-01,RS,RS,240.278
2013-08-01,Railways,MTRC,460.680483870968
2013-09-01,Ferries,LFS,36.5461333333333
2013-09-01,TAX,TAX,1028.70757893333
2013-09-01,RS,RS,243.507433333333
2013-09-01,LRB,LRB,137.156566666667
2013-09-01,Fran_Bus,KMB,2622.01843333333
2013-09-01,Fran_Bus,CTB,644.875066666667
2013-09-01,Fran_Bus,NWFB,501.982766666667
2013-09-01,Fran_Bus,LWB,91.5098666666667
2013-09-01,Fran_Bus,NLB,67.5061
2013-09-01,Railways,MTRC,4389.02453333333
2013-09-01,Railways,MTRC,39.4624666666667
2013-09-01,Railways,MTRC,489.759633333333
2013-09-01,Railways,HKT,196.297
2013-09-01,PLB,GMB,1532.65716666667
2013-09-01,PLB,RMB,348.816
2013-09-01,Ferries,NWFF,38.0157666666667
2013-09-01,Ferries,STF,51.6232333333333
2013-10-01,TAX,TAX,1011.66010496774
2013-10-01,RS,RS,243.338935483871
2013-10-01,Ferries,STF,61.8982903225806
2013-10-01,Ferries,NWFF,42.6401612903226
2013-10-01,PLB,RMB,349.407258064516
2013-10-01,PLB,GMB,1541.41174193548
2013-10-01,Fran_Bus,KMB,2682.05932258065
2013-10-01,LRB,LRB,138.942096774194
2013-10-01,Railways,HKT,204.850096774194
2013-10-01,Railways,MTRC,484.6
2013-10-01,Railways,MTRC,40.2456129032258
2013-10-01,Railways,MTRC,4457.28916129032
2013-10-01,Fran_Bus,NLB,68.1256451612903
2013-10-01,Fran_Bus,LWB,94.6699677419355
2013-10-01,Fran_Bus,NWFB,518.547387096774
2013-10-01,Fran_Bus,CTB,666.538322580645
2013-10-01,Ferries,LFS,40.4762903225806
2013-11-01,Fran_Bus,KMB,2707.5417
2013-11-01,Railways,HKT,208.237933333333
2013-11-01,PLB,GMB,1544.15596666667
2013-11-01,PLB,RMB,357.5934
2013-11-01,Ferries,NWFF,39.9224
2013-11-01,Ferries,STF,61.4257333333333
2013-11-01,Ferries,LFS,39.0957666666667
2013-11-01,TAX,TAX,1015.84927903333
2013-11-01,RS,RS,244.4002
2013-11-01,LRB,LRB,139.771533333333
2013-11-01,Fran_Bus,CTB,665.980666666667
2013-11-01,Fran_Bus,NWFB,520.432566666667
2013-11-01,Fran_Bus,LWB,94.5087333333333
2013-11-01,Fran_Bus,NLB,66.0195666666667
2013-11-01,Railways,MTRC,4569.59943333333
2013-11-01,Railways,MTRC,484.8502
2013-11-01,Railways,MTRC,40.0356333333333
2013-12-01,RS,RS,233.908258064516
2013-12-01,TAX,TAX,967.571582935484
2013-12-01,Ferries,LFS,37.3692580645161
2013-12-01,Ferries,STF,64.7257741935484
2013-12-01,Ferries,NWFF,38.6986451612903
2013-12-01,PLB,RMB,344.078290322581
2013-12-01,PLB,GMB,1500.74338709677
2013-12-01,LRB,LRB,135.550709677419
2013-12-01,Railways,MTRC,468.358322580645
2013-12-01,Railways,MTRC,40.8598064516129
2013-12-01,Railways,MTRC,4541.67622580645
2013-12-01,Fran_Bus,NLB,66.0550967741936
2013-12-01,Fran_Bus,LWB,92.8820322580645
2013-12-01,Fran_Bus,NWFB,499.60764516129
2013-12-01,Fran_Bus,CTB,647.960419354839
2013-12-01,Fran_Bus,KMB,2618.7134516129
2013-12-01,Railways,HKT,205.638548387097
2014-01-01,Fran_Bus,KMB,2682.43361290323
2014-01-01,Fran_Bus,CTB,662.161870967742
2014-01-01,Fran_Bus,NWFB,513.865161290323
2014-01-01,Fran_Bus,LWB,92.1667741935484
2014-01-01,Fran_Bus,NLB,66.5898387096774
2014-01-01,Railways,MTRC,4559.68367741935
2014-01-01,Railways,MTRC,37.8706451612903
2014-01-01,Railways,MTRC,476.465419354839
2014-01-01,Railways,HKT,202.970419354839
2014-01-01,PLB,GMB,1521.68429032258
2014-01-01,PLB,RMB,348.911129032258
2014-01-01,Ferries,NWFF,37.9084838709677
2014-01-01,Ferries,STF,58.7785806451613
2014-01-01,Ferries,LFS,36.9654193548387
2014-01-01,TAX,TAX,967.610924935484
2014-01-01,RS,RS,235.340387096774
2014-01-01,LRB,LRB,137.743967741935
2014-02-01,Railways,HKT,189.016642857143
2014-02-01,Fran_Bus,KMB,2575.99557142857
2014-02-01,Fran_Bus,CTB,654.233892857143
2014-02-01,Fran_Bus,NWFB,488.701142857143
2014-02-01,Fran_Bus,LWB,91.1293928571429
2014-02-01,Fran_Bus,NLB,68.0883571428571
2014-02-01,Railways,MTRC,4339.72696428571
2014-02-01,Railways,MTRC,37.2917142857143
2014-02-01,Railways,MTRC,452.084392857143
2014-02-01,PLB,GMB,1466.03128571429
2014-02-01,PLB,RMB,345.869392857143
2014-02-01,Ferries,NWFF,42.0048571428571
2014-02-01,Ferries,STF,58.9196071428571
2014-02-01,Ferries,LFS,37.6688571428571
2014-02-01,TAX,TAX,969.821571392857
2014-02-01,RS,RS,232.65175
2014-02-01,LRB,LRB,128.466357142857
2014-03-01,Fran_Bus,KMB,2649.17774193548
2014-03-01,Fran_Bus,CTB,664.904709677419
2014-03-01,Fran_Bus,NWFB,501.054387096774
2014-03-01,Fran_Bus,LWB,91.8773225806452
2014-03-01,Fran_Bus,NLB,65.7757741935484
2014-03-01,Railways,MTRC,4440.84477419355
2014-03-01,Railways,MTRC,41.5588709677419
2014-03-01,Railways,MTRC,467.72435483871
2014-03-01,Railways,HKT,195.215548387097
2014-03-01,PLB,GMB,1502.94122580645
2014-03-01,PLB,RMB,353.242580645161
2014-03-01,Ferries,NWFF,39.9873225806452
2014-03-01,Ferries,STF,55.1969677419355
2014-03-01,Ferries,LFS,37.4064193548387
2014-03-01,TAX,TAX,981.082279322581
2014-03-01,RS,RS,234.19635483871
2014-03-01,LRB,LRB,136.626870967742
2014-04-01,Fran_Bus,KMB,2612.24556666667
2014-04-01,Fran_Bus,CTB,651.383266666667
2014-04-01,Fran_Bus,NWFB,498.4297
2014-04-01,Fran_Bus,LWB,95.2417
2014-04-01,Fran_Bus,NLB,68.3719333333333
2014-04-01,Railways,MTRC,4303.48003333333
2014-04-01,Railways,MTRC,42.1745333333333
2014-04-01,Railways,MTRC,457.243633333333
2014-04-01,Railways,HKT,194.974566666667
2014-04-01,PLB,GMB,1474.5614
2014-04-01,PLB,RMB,337.84
2014-04-01,Ferries,NWFF,44.6986333333333
2014-04-01,Ferries,STF,58.7576333333333
2014-04-01,Ferries,LFS,40.6714333333333
2014-04-01,TAX,TAX,939.4209457
2014-04-01,RS,RS,230.101166666667
2014-04-01,LRB,LRB,133.183266666667
2014-05-01,Fran_Bus,KMB,2618.85822580645
2014-05-01,Fran_Bus,CTB,644.336161290322
2014-05-01,Fran_Bus,NWFB,495.442451612903
2014-05-01,Fran_Bus,LWB,92.1709032258064
2014-05-01,Fran_Bus,NLB,65.3553225806452
2014-05-01,Railways,MTRC,4310.90158064516
2014-05-01,Railways,MTRC,36.9778064516129
