period_month,temp_mean_c_avg,temp_max_c_avg,temp_max_c_peak,temp_min_c_avg,temp_min_c_low,temp_range_c_avg,rh_mean_pct_avg,rainfall_mm_sum,rainfall_day_count,hot_day_count,cool_day_count
1884-01-01,,19.154838709677417,24.3,14.829032258064515,8.2,4.325806451612903,,0.0,0,0,3
1884-02-01,,16.355172413793102,21.1,11.879310344827585,6.0,4.475862068965518,,0.0,0,0,12
1884-03-01,,18.770967741935483,24.5,15.116129032258065,12.7,3.6548387096774198,,148.2,10,0,0
1884-04-01,19.873333333333335,22.55,28.8,17.933333333333334,12.6,4.616666666666666,,134.3,15,0,0
1884-05-01,23.787096774193547,27.016129032258064,30.8,21.64516129032258,17.8,5.370967741935484,,229.5,23,3,0
1884-06-01,26.7,30.0,32.8,24.563333333333333,22.6,5.4366666666666665,,280.5,20,13,0
1884-07-01,27.906451612903226,31.080645161290324,33.9,25.799999999999997,23.4,5.280645161290322,,332.3,21,21,0
1884-08-01,27.664516129032258,31.05483870967742,33.4,25.33225806451613,22.9,5.72258064516129,,275.0,17,24,0
1884-09-01,27.31,30.316666666666666,33.1,25.233333333333334,23.7,5.083333333333333,,314.5,16,18,0
1884-10-01,25.135483870967743,27.758064516129032,30.2,23.164516129032258,19.8,4.593548387096774,,78.60000000000001,10,2,0
1884-11-01,19.876666666666665,22.46333333333333,28.4,17.709999999999997,10.7,4.753333333333333,,38.0,8,0,3
1884-12-01,15.348387096774195,18.64516129032258,21.7,12.880645161290323,9.4,5.764516129032257,,0.0,0,0,10
1885-01-01,14.851612903225806,17.212903225806453,21.7,12.993548387096775,7.6,4.219354838709678,,22.400000000000002,3,0,12
1885-02-01,12.75,14.660714285714286,20.8,11.289285714285715,7.2,3.3714285714285714,,68.9,14,0,20
1885-03-01,15.916129032258064,18.570967741935487,25.1,13.97741935483871,9.3,4.593548387096774,,62.6,12,0,5
1885-04-01,21.316666666666666,23.903333333333332,28.4,19.436666666666667,16.5,4.466666666666667,,378.0,10,0,0
1885-05-01,25.306451612903224,27.40967741935484,30.8,23.5258064516129,19.2,3.883870967741936,,123.1,18,3,0
1885-06-01,27.003333333333334,29.35,31.8,25.296666666666667,21.8,4.053333333333333,,797.3,21,8,0
1885-07-01,27.14516129032258,29.187096774193545,31.4,25.41290322580645,23.2,3.774193548387097,,344.7,18,9,0
1885-08-01,26.674193548387095,28.693548387096776,31.2,24.687096774193545,23.1,4.006451612903226,,708.4,19,6,0
1885-09-01,25.95,28.033333333333335,31.3,24.446666666666665,22.8,3.5866666666666664,,148.8,16,2,0
1885-10-01,23.95483870967742,25.59032258064516,29.9,22.43548387096774,17.9,3.1548387096774198,,63.699999999999996,6,0,0
1885-11-01,20.0,22.13,26.5,17.94,12.8,4.1899999999999995,,19.4,6,0,0
1885-12-01,17.567741935483873,19.529032258064515,24.6,15.706451612903225,10.4,3.8225806451612905,,31.8,7,0,5
1886-01-01,14.812903225806451,16.72258064516129,23.6,13.051612903225807,5.4,3.670967741935484,,51.2,9,0,8
1886-02-01,12.017857142857142,13.532142857142857,17.5,10.442857142857141,6.5,3.0892857142857144,,38.5,11,0,22
1886-03-01,16.641935483870967,18.738709677419354,24.6,15.080645161290322,11.1,3.6580645161290324,,65.5,18,0,3
1886-04-01,20.790000000000003,22.426666666666666,25.7,19.38,15.8,3.0466666666666664,,144.2,13,0,0
1886-05-01,24.306451612903224,26.451612903225808,31.3,22.729032258064517,18.8,3.7225806451612904,,44.900000000000006,13,4,0
1886-06-01,26.540000000000003,28.513333333333332,31.0,24.93,21.5,3.583333333333334,,270.40000000000003,20,4,0
1886-07-01,27.003225806451614,29.02258064516129,31.3,25.24516129032258,23.3,3.77741935483871,,717.7,25,8,0
1886-08-01,27.358064516129033,29.725806451612904,32.1,25.519354838709678,23.7,4.206451612903226,,230.70000000000002,19,15,0
1886-09-01,26.496666666666666,29.040000000000003,31.3,24.566666666666666,22.4,4.473333333333333,,76.1,9,8,0
1886-10-01,24.870967741935484,26.806451612903224,30.1,23.251612903225805,16.0,3.5548387096774188,,71.5,7,1,0
1886-11-01,20.563333333333333,22.790000000000003,26.7,18.553333333333335,14.5,4.236666666666667,,1.1,4,0,0
1886-12-01,15.46774193548387,17.874193548387098,21.9,13.2,10.4,4.674193548387097,,45.1,5,0,7
1887-01-01,14.790322580645162,16.64516129032258,20.9,13.258064516129032,9.4,3.3870967741935485,,214.3,13,0,10
1887-02-01,13.332142857142857,15.35,21.1,11.75,6.0,3.6,,47.9,10,0,14
1887-03-01,16.258064516129032,18.393548387096775,25.8,14.770967741935483,12.1,3.6225806451612903,,74.7,16,0,0
1887-04-01,20.576666666666664,23.05666666666667,27.9,18.56,13.6,4.496666666666667,,143.5,14,0,0
1887-05-01,23.783870967741933,25.874193548387098,31.3,22.24516129032258,19.6,3.629032258064516,,52.1,15,2,0
